id,class,date,agent,ip,vote_id
2397,2,2022-05-01 12:27:24,1,1,
2398,7,2022-05-01 12:27:24,1,1,2397
2399,2,2022-05-01 12:27:31,1,2,
2400,7,2022-05-01 12:27:31,1,2,2399
2401,1,2022-05-01 12:27:35,2,3,
2402,11,2022-05-01 12:27:35,2,3,2401
2403,6,2022-05-01 12:27:40,1,1,
2404,11,2022-05-01 12:27:40,1,1,2403
2405,2,2022-05-01 12:27:41,3,4,
2406,11,2022-05-01 12:27:44,3,4,
2407,5,2022-05-01 12:27:45,4,4,
2408,12,2022-05-01 12:27:45,4,4,2407
2409,6,2022-05-01 12:27:51,1,2,
2410,10,2022-05-01 12:27:51,1,2,2409
2411,12,2022-05-01 12:27:53,3,4,
2412,6,2022-05-01 12:27:53,1,1,
2413,11,2022-05-01 12:27:53,1,1,2412
2414,2,2022-05-01 12:27:56,5,5,
2415,8,2022-05-01 12:27:56,5,5,2414
2416,6,2022-05-01 12:28:00,4,4,
2417,12,2022-05-01 12:28:00,4,4,2416
2418,2,2022-05-01 12:28:01,5,5,
2419,8,2022-05-01 12:28:01,5,5,2418
2420,12,2022-05-01 12:28:01,3,4,
2421,4,2022-05-01 12:28:09,6,6,
2422,11,2022-05-01 12:28:09,6,6,2421
2423,2,2022-05-01 12:28:15,3,4,
2424,12,2022-05-01 12:28:16,4,4,
2425,2,2022-05-01 12:28:16,7,7,
2426,10,2022-05-01 12:28:16,7,7,2425
2427,2,2022-05-01 12:28:18,7,7,
2428,10,2022-05-01 12:28:18,7,7,2427
2429,11,2022-05-01 12:28:18,6,6,
2430,7,2022-05-01 12:28:19,3,4,
2431,2,2022-05-01 12:28:22,7,7,
2432,10,2022-05-01 12:28:22,7,7,2431
2433,12,2022-05-01 12:28:22,4,4,
2434,2,2022-05-01 12:28:25,7,7,
2435,10,2022-05-01 12:28:25,7,7,2434
2436,3,2022-05-01 12:28:27,2,3,
2437,10,2022-05-01 12:28:27,2,3,2436
2438,1,2022-05-01 12:28:28,1,2,
2439,12,2022-05-01 12:28:28,1,2,2438
2440,2,2022-05-01 12:28:29,7,7,
2441,10,2022-05-01 12:28:29,7,7,2440
2442,4,2022-05-01 12:28:32,8,8,
2443,11,2022-05-01 12:28:32,8,8,2442
2444,3,2022-05-01 12:28:33,2,3,
2445,12,2022-05-01 12:28:33,2,3,2444
2446,1,2022-05-01 12:28:41,2,3,
2447,11,2022-05-01 12:28:41,2,3,2446
2448,10,2022-05-01 12:28:41,7,7,
2449,6,2022-05-01 12:28:41,8,8,
2450,8,2022-05-01 12:28:41,8,8,2449
2451,10,2022-05-01 12:28:43,7,7,
2452,3,2022-05-01 12:28:44,2,3,
2453,12,2022-05-01 12:28:44,2,3,2452
2454,10,2022-05-01 12:28:45,9,4,
2455,6,2022-05-01 12:28:46,10,9,
2456,12,2022-05-01 12:28:46,10,9,2455
2457,5,2022-05-01 12:28:48,4,4,
2458,3,2022-05-01 12:28:48,8,8,
2459,12,2022-05-01 12:28:48,8,8,2458
2460,6,2022-05-01 12:28:49,1,2,
2461,11,2022-05-01 12:28:49,1,2,2460
2462,1,2022-05-01 12:28:49,7,7,
2463,9,2022-05-01 12:28:49,7,7,2462
2464,6,2022-05-01 12:28:50,2,3,
2465,9,2022-05-01 12:28:50,2,3,2464
2466,6,2022-05-01 12:28:50,1,1,
2467,12,2022-05-01 12:28:50,1,1,2466
2468,2,2022-05-01 12:28:51,3,4,
2469,6,2022-05-01 12:28:53,10,9,
2470,12,2022-05-01 12:28:53,10,9,2469
2471,1,2022-05-01 12:28:53,1,2,
2472,11,2022-05-01 12:28:53,1,2,2471
2473,2,2022-05-01 12:28:54,11,10,
2474,9,2022-05-01 12:28:54,11,10,2473
2475,1,2022-05-01 12:28:54,7,7,
2476,9,2022-05-01 12:28:54,7,7,2475
2477,4,2022-05-01 12:28:55,12,11,
2478,10,2022-05-01 12:28:55,12,11,2477
2479,5,2022-05-01 12:28:56,6,6,
2480,8,2022-05-01 12:28:56,6,6,2479
2481,10,2022-05-01 12:28:57,9,4,
2482,1,2022-05-01 12:28:57,7,7,
2483,9,2022-05-01 12:28:57,7,7,2482
2484,6,2022-05-01 12:28:58,2,3,
2485,11,2022-05-01 12:28:58,2,3,2484
2486,6,2022-05-01 12:28:58,8,8,
2487,9,2022-05-01 12:28:58,8,8,2486
2488,11,2022-05-01 12:28:58,3,4,
2489,4,2022-05-01 12:29:00,12,11,
2490,10,2022-05-01 12:29:00,12,11,2489
2491,4,2022-05-01 12:29:03,4,4,
2492,12,2022-05-01 12:29:03,4,4,2491
2493,4,2022-05-01 12:29:03,12,11,
2494,10,2022-05-01 12:29:03,12,11,2493
2495,6,2022-05-01 12:29:04,8,8,
2496,7,2022-05-01 12:29:04,8,8,2495
2497,6,2022-05-01 12:29:05,1,1,
2498,12,2022-05-01 12:29:05,1,1,2497
2499,1,2022-05-01 12:29:05,7,7,
2500,11,2022-05-01 12:29:05,7,7,2499
2501,4,2022-05-01 12:29:06,6,6,
2502,10,2022-05-01 12:29:06,6,6,2501
2503,1,2022-05-01 12:29:06,3,4,
2504,4,2022-05-01 12:29:08,6,6,
2505,10,2022-05-01 12:29:08,6,6,2504
2506,6,2022-05-01 12:29:09,12,11,
2507,10,2022-05-01 12:29:09,12,11,2506
2508,4,2022-05-01 12:29:09,2,3,
2509,10,2022-05-01 12:29:09,2,3,2508
2510,3,2022-05-01 12:29:10,1,2,
2511,8,2022-05-01 12:29:10,1,2,2510
2512,1,2022-05-01 12:29:11,11,10,
2513,9,2022-05-01 12:29:11,11,10,2512
2514,4,2022-05-01 12:29:12,4,4,
2515,11,2022-05-01 12:29:12,4,4,2514
2516,2,2022-05-01 12:29:13,8,9,
2517,10,2022-05-01 12:29:13,8,9,2516
2518,11,2022-05-01 12:29:15,3,4,
2519,1,2022-05-01 12:29:16,7,7,
2520,10,2022-05-01 12:29:16,7,7,2519
2521,10,2022-05-01 12:29:19,6,6,
2522,3,2022-05-01 12:29:19,10,9,
2523,12,2022-05-01 12:29:19,10,9,2522
2524,3,2022-05-01 12:29:20,1,2,
2525,8,2022-05-01 12:29:20,1,2,2524
2526,2,2022-05-01 12:29:22,11,10,
2527,3,2022-05-01 12:29:22,12,11,
2528,4,2022-05-01 12:29:22,2,3,
2529,9,2022-05-01 12:29:22,12,11,2527
2530,10,2022-05-01 12:29:22,2,3,2528
2531,6,2022-05-01 12:29:22,3,4,
2532,6,2022-05-01 12:29:23,4,4,
2533,10,2022-05-01 12:29:23,4,4,2532
2534,3,2022-05-01 12:29:23,1,2,
2535,8,2022-05-01 12:29:23,1,2,2534
2536,1,2022-05-01 12:29:24,7,7,
2537,11,2022-05-01 12:29:24,7,7,2536
2538,2,2022-05-01 12:29:24,8,9,
2539,10,2022-05-01 12:29:24,8,9,2538
2540,6,2022-05-01 12:29:24,6,6,
2541,11,2022-05-01 12:29:25,3,4,
2542,4,2022-05-01 12:29:25,2,3,
2543,10,2022-05-01 12:29:25,2,3,2542
2544,6,2022-05-01 12:29:27,8,8,
2545,8,2022-05-01 12:29:27,8,8,2544
2546,2,2022-05-01 12:29:29,11,10,
2547,9,2022-05-01 12:29:29,11,10,2546
2548,6,2022-05-01 12:29:31,12,11,
2549,8,2022-05-01 12:29:31,12,11,2548
2550,6,2022-05-01 12:29:31,4,4,
2551,11,2022-05-01 12:29:31,4,4,2550
2552,6,2022-05-01 12:29:32,5,5,
2553,12,2022-05-01 12:29:32,5,5,2552
2554,4,2022-05-01 12:29:32,2,3,
2555,10,2022-05-01 12:29:32,2,3,2554
2556,1,2022-05-01 12:29:33,7,7,
2557,11,2022-05-01 12:29:33,7,7,2556
2558,1,2022-05-01 12:29:33,1,1,
2559,11,2022-05-01 12:29:33,1,1,2558
2560,4,2022-05-01 12:29:34,2,3,
2561,10,2022-05-01 12:29:34,2,3,2560
2562,2,2022-05-01 12:29:35,11,10,
2563,11,2022-05-01 12:29:35,11,10,2562
2564,6,2022-05-01 12:29:36,8,8,
2565,9,2022-05-01 12:29:36,8,8,2564
2566,1,2022-05-01 12:29:36,7,7,
2567,11,2022-05-01 12:29:36,7,7,2566
2568,6,2022-05-01 12:29:36,3,4,
2569,6,2022-05-01 12:29:37,4,4,
2570,12,2022-05-01 12:29:37,4,4,2569
2571,4,2022-05-01 12:29:38,6,6,
2572,11,2022-05-01 12:29:38,6,6,2571
2573,12,2022-05-01 12:29:40,6,6,
